Ref,Val,Package,PosX,PosY,Rot,Side
"C246","2.2 uF","C_2220_Sm",-1.100000,67.000000,0.000000,bottom
"C247","2.2 uF","C_2220_Sm",-1.600000,72.600000,180.000000,bottom
"C248","2.2 uF","C_2220_Sm",-14.800000,78.200000,0.000000,bottom
"C249","2.2 uF","C_2220_Sm",-15.300000,61.400000,180.000000,bottom
"C250","2.2 uF","C_2220_Sm",-28.400000,67.000000,-0.000000,bottom
"C253","2.2 uF","C_2220_Sm",-14.800000,55.800000,0.000000,bottom
"C254","2.2 uF","C_2220_Sm",-1.600000,95.000000,180.000000,bottom
"C255","2.2 uF","C_2220_Sm",-28.400000,44.600000,-0.000000,bottom
"C256","2.2 uF","C_2220_Sm",-1.100000,44.600000,0.000000,bottom
"C263","2.2 uF","C_2220_Sm",-15.300000,78.200000,180.000000,bottom
"C267","2.2 uF","C_2220_Sm",-55.600000,106.200000,0.000000,bottom
"C268","2.2 uF","C_2220_Sm",-15.300000,83.800000,180.000000,bottom
"C269","2.2 uF","C_2220_Sm",-14.800000,72.600000,0.000000,bottom
"C270","2.2 uF","C_2220_Sm",-1.600000,78.200000,180.000000,bottom
"C271","2.2 uF","C_2220_Sm",-1.100000,61.400000,0.000000,bottom
"C272","2.2 uF","C_2220_Sm",-55.600000,55.800000,0.000000,bottom
"C274","2.2 uF","C_2220_Sm",-15.300000,39.000000,180.000000,bottom
"C275","2.2 uF","C_2220_Sm",-28.400000,12.200000,0.000000,bottom
"C276","2.2 uF","C_2220_Sm",-1.100000,106.200000,0.000000,bottom
"C277","2.2 uF","C_2220_Sm",-14.800000,83.800000,0.000000,bottom
"C278","2.2 uF","C_2220_Sm",-1.100000,78.200000,0.000000,bottom
"C279","2.2 uF","C_2220_Sm",-56.100000,100.600000,180.000000,bottom
"C280","2.2 uF","C_2220_Sm",-15.300000,95.000000,180.000000,bottom
"C288","2.2 uF","C_2220_Sm",-15.300000,100.600000,180.000000,bottom
"C290","2.2 uF","C_2220_Sm",-1.100000,100.600000,0.000000,bottom
"C297","2.2 uF","C_2220_Sm",-14.800000,44.600000,0.000000,bottom
"C300","2.2 uF","C_2220_Sm",-28.400000,83.800000,-0.000000,bottom
